brand,price,old,brake,drivetrain,material
자이언트 ,3900000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
첼로 ,250000,2014,림 브레이크,SHIMANO SORA,알루미늄
자이언트 ,600000,2021,림 브레이크,SHIMANO CLARIS,알루미늄
리들리 ,6500000,2017,림 브레이크,SHIMANO DURA-ACE,카본
트렉 ,6500000,2019,디스크 브레이크,SRAM RED,카본
트렉 ,4950000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
룩 ,3300000,2019,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,690000,2019,림 브레이크,SHIMANO CLARIS,카본+알루미늄
트렉 ,3600000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,9150000,2019,디스크 브레이크,SHIMANO DURA-ACE,카본
트렉 ,6500000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,4400000,2017,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,1500000,2017,림 브레이크,SHIMANO 105,카본
룩 ,2600000,2016,림 브레이크,SHIMANO DURA-ACE,카본
캐논데일 ,1000000,2015,림 브레이크,SRAM Force,카본
자이언트 ,2300000,2021,디스크 브레이크,SHIMANO 105,카본+알루미늄
트렉 ,7300000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
메리다 ,3100000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,5400000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
포커스 ,3500000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1900000,2018,디스크 브레이크,기타,카본
자이언트 ,1550000,2019,림 브레이크,SHIMANO 105,카본
룩 ,3400000,2019,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,3200000,2021,디스크 브레이크,SHIMANO 105,카본+알루미늄
라피에르 ,2200000,2015,림 브레이크,SHIMANO ULTEGRA,카본+알루미늄
비앙키 ,10000000,2020,디스크 브레이크,SHIMANO DURA-ACE,카본
기타 ,8200000,2021,디스크 브레이크,기타,카본
비앙키 ,5500000,2019,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,1000000,2021,림 브레이크,SHIMANO 105,카본
트렉 ,5000000,2018,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,500000,2018,림 브레이크,SHIMANO SORA,카본
스페셜라이즈드 ,1500000,2017,림 브레이크,SHIMANO 105,카본+알루미늄
트렉 ,4500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,6200000,2017,림 브레이크,SHIMANO DURA-ACE,카본
포커스 ,7500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
후지 ,200000,2013,디스크 브레이크,SHIMANO SORA,알루미늄
트렉 ,2850000,2021,디스크 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,500000,2018,림 브레이크,SHIMANO CLARIS,카본+알루미늄
기타 ,770000,2021,림 브레이크,SHIMANO CLARIS,알루미늄
룩 ,2500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,2000000,2019,림 브레이크,SHIMANO 105,카본
데로사 ,2300000,2019,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,4500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,4200000,2018,림 브레이크,SHIMANO ULTEGRA,카본
비앙키 ,1100000,2017,림 브레이크,SHIMANO 105,카본+알루미늄
스페셜라이즈드 ,3100000,2020,림 브레이크,SHIMANO ULTEGRA,카본+알루미늄
비앙키 ,8700000,2018,림 브레이크,SHIMANO DURA-ACE,카본
기타 ,1500000,2013,림 브레이크,SHIMANO ULTEGRA,카본
비앙키 ,5500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,1500000,2021,디스크 브레이크,SHIMANO 105,카본
자이언트 ,3300000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,450000,2020,림 브레이크,SHIMANO CLARIS,알루미늄
서벨로 ,9000000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
자이언트 ,4500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1700000,2019,림 브레이크,SHIMANO 105,카본
기타 ,1200000,2019,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1000000,2013,림 브레이크,SHIMANO ULTEGRA,카본+알루미늄
서벨로 ,8500000,2020,디스크 브레이크,SRAM RED eTap AXS,카본
트렉 ,4800000,2016,림 브레이크,SHIMANO DURA-ACE,카본
비앙키 ,1480000,2021,림 브레이크,SHIMANO 105,카본+알루미늄
트렉 ,3000000,2021,디스크 브레이크,SHIMANO 105,카본
비엠씨 ,3000000,2019,림 브레이크,SHIMANO ULTEGRA,카본
첼로 ,550000,2021,림 브레이크,SHIMANO SORA,알루미늄
기타 ,500000,2021,림 브레이크,SHIMANO SORA,카본+알루미늄
트렉 ,6000000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
첼로 ,2100000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,4600000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
타임 ,2000000,2016,림 브레이크,SHIMANO DURA-ACE,카본
리들리 ,2600000,2016,림 브레이크,SRAM Force,카본
마지 ,3500000,2014,림 브레이크,SHIMANO DURA-ACE,카본
위아위스 ,3000000,2019,림 브레이크,SHIMANO DURA-ACE,카본
첼로 ,1000000,2017,림 브레이크,SHIMANO ULTEGRA,카본
콜나고 ,4500000,2013,림 브레이크,SHIMANO DURA-ACE,카본
트렉 ,9500000,2018,림 브레이크,SHIMANO DURA-ACE,카본
기타 ,1300000,2021,림 브레이크,SHIMANO 105,카본
메리다 ,1300000,2015,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,2650000,2016,림 브레이크,SHIMANO 105,카본
트렉 ,2500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,4500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
코메트 ,2250000,2021,디스크 브레이크,SHIMANO 105,카본
캐논데일 ,6600000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
예거 ,1700000,2021,디스크 브레이크,SHIMANO 105,카본
트렉 ,3800000,2018,림 브레이크,SHIMANO ULTEGRA,카본
캐논데일 ,1700000,2020,림 브레이크,SHIMANO 105,카본+알루미늄
기타 ,550000,2021,림 브레이크,SHIMANO SORA,알루미늄
트렉 ,4450000,2021,디스크 브레이크,SHIMANO 105,카본
비엠씨 ,8800000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
팔리 ,4700000,2019,림 브레이크,SHIMANO DURA-ACE,카본
트렉 ,4300000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,7200000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,1150000,2017,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,1234567,2021,디스크 브레이크,SHIMANO 105,카본
비앙키 ,1350000,2020,림 브레이크,SHIMANO 105,카본+알루미늄
트렉 ,4550000,2021,디스크 브레이크,SHIMANO 105,카본
첼로 ,280000,2016,림 브레이크,SHIMANO CLARIS,알루미늄
위아위스 ,2600000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
코메트 ,1400000,2021,디스크 브레이크,SHIMANO 105,카본+알루미늄
펠트 ,3800000,2018,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,11111111,2015,림 브레이크,SHIMANO DURA-ACE,카본
캐논데일 ,2100000,2015,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,3800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,4200000,2021,디스크 브레이크,SHIMANO 105,카본
엘파마 ,1900000,2021,디스크 브레이크,SHIMANO 105,카본
자이언트 ,2700000,2018,림 브레이크,SHIMANO ULTEGRA,카본
트리곤 ,2450000,2017,림 브레이크,SHIMANO ULTEGRA,카본
캄파놀료 ,2500000,2021,림 브레이크,SHIMANO DURA-ACE,카본
자이언트 ,1500000,2016,림 브레이크,기타,카본+알루미늄
트렉 ,4800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
오베아 ,5900000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
스페셜라이즈드 ,3100000,2021,디스크 브레이크,SHIMANO 105,카본
트리곤 ,3500000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
스페셜라이즈드 ,4200000,2016,림 브레이크,SHIMANO DURA-ACE,카본
트렉 ,7250000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,950000,2020,림 브레이크,SHIMANO CLARIS,카본+알루미늄
기타 ,990000,2018,디스크 브레이크,기타,알루미늄
엘파마 ,1000000,2015,림 브레이크,SHIMANO 105,카본
트리곤 ,1400000,2020,림 브레이크,SHIMANO ULTEGRA,카본
캄파놀료 ,2600000,2020,림 브레이크,SHIMANO DURA-ACE,카본
메리다 ,400000,2016,림 브레이크,SHIMANO SORA,카본+알루미늄
캐논데일 ,7400000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
첼로 ,510000,2017,림 브레이크,SHIMANO 105,카본+알루미늄
메리다 ,650000,2020,림 브레이크,SHIMANO CLARIS,카본+알루미늄
윌리어 ,2500000,2016,림 브레이크,SHIMANO ULTEGRA,카본
코메트 ,1600000,2021,디스크 브레이크,SHIMANO 105,카본
기타 ,4600000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
자이언트 ,2500000,2017,림 브레이크,SHIMANO ULTEGRA,카본
씨포 ,3800000,2016,림 브레이크,SHIMANO 105,카본
포커스 ,1200000,2019,림 브레이크,SHIMANO 105,알루미늄
윌리어 ,1850000,2015,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2100000,2020,디스크 브레이크,SHIMANO 105,카본
자이언트 ,3650000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,3600000,2017,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,5300000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,800000,2014,림 브레이크,SHIMANO 105,카본
포커스 ,6800000,2019,디스크 브레이크,SHIMANO DURA-ACE,카본
캐논데일 ,2300000,2013,림 브레이크,SHIMANO ULTEGRA,알루미늄
캐니언 ,11000000,2020,디스크 브레이크,SRAM RED eTap AXS,카본
기타 ,1000000,2019,림 브레이크,SHIMANO 105,카본
트렉 ,2950000,2021,디스크 브레이크,SHIMANO 105,카본
메리다 ,1900000,2018,림 브레이크,SHIMANO ULTEGRA,카본
엘파마 ,750000,2016,림 브레이크,SHIMANO 105,알루미늄
기타 ,1450000,2020,림 브레이크,SHIMANO 105,카본
